Year  Cost     Sk     Sl       Se      Sm     Pk       Pl       Pe       Pm       K        L        E        M
1947  182.373  .05107  .24727  .04253  .65913 1.00000  1.00000  1.00000  1.00000  1.00000  1.00000  1.00000  1.00000
1948  183.161  .05817  .27716  .05127  .61340 1.00270  1.15457  1.30258  1.05525  1.14103   .97501   .92932   .88570
1949  186.533  .04602  .25911  .05075  .64411  .74371  1.15584  1.19663  1.06225  1.23938   .92728  1.01990   .94093
1950  221.710  .04991  .24794  .04606  .65609  .92497  1.23535  1.21442  1.12430  1.28449   .98675  1.08416  1.07629
1951  255.945  .05039  .25487  .04482  .64992 1.04877  1.33784  1.25179  1.21694  1.32043  1.08125  1.18144  1.13711
1952  264.699  .04916  .26655  .04460  .63969  .99744  1.37949  1.27919  1.19961  1.40073  1.13403  1.18960  1.17410
1953  291.160  .04728  .26832  .04369  .64071 1.00653  1.43458  1.27505  1.19044  1.46867  1.20759  1.28618  1.30363
1954  274.457  .05635  .27167  .04787  .62411 1.08757  1.45362  1.30356  1.20612  1.52688  1.13745  1.29928  1.18144
1955  308.908  .05258  .26465  .04517  .63760 1.10315  1.51120  1.34277  1.23835  1.58086  1.19963  1.33969  1.32313
1956  328.286  .04604  .26880  .04576  .63940  .99606  1.58186  1.37154  1.29336  1.62929  1.23703  1.41187  1.35013
1957  338.633  .05033  .27184  .04820  .62962 1.06321  1.64641  1.38010  1.30703  1.72137  1.23985  1.52474  1.35705
1958  323.318  .06015  .27283  .04836  .61866 1.15619  1.67389  1.39338  1.32699  1.80623  1.16856  1.44656  1.25396
1959  358.435  .06185  .27303  .04563  .61948 1.30758  1.73430  1.36756  1.30774  1.82065  1.25130  1.54174  1.41250
1960  366.251  .05788  .27738  .04585  .61889 1.25413  1.78280  1.38025  1.33946  1.81512  1.26358  1.56828  1.40778
1961  366.162  .05903  .27839  .04640  .61617 1.26328  1.81977  1.37630  1.34319  1.83730  1.24215  1.59152  1.39735
1962  390.668  .05578  .28280  .04530  .61613 1.26525  1.88531  1.37689  1.34745  1.84933  1.29944  1.65694  1.48606
1963  412.188  .05601  .27968  .04470  .61962 1.32294  1.93379  1.34737  1.33143  1.87378  1.32191  1.76280  1.59577
1964  433.768  .05452  .28343  .04392  .61814 1.32798  2.00998  1.38969  1.35197  1.91216  1.35634  1.76720  1.64985
1965  474.969  .05467  .27996  .04114  .62423 1.40659  2.05539  1.38635  1.37542  1.98212  1.43460  1.81702  1.79327
1966  521.291  .05460  .28363  .04014  .62163 1.45100  2.13441  1.40102  1.41878  2.10637  1.53611  1.92525  1.90004
1967  540.941  .05443  .28646  .04074  .61837 1.38617  2.20616  1.39197  1.42428  2.27814  1.55581  2.03881  1.95160
1968  585.447  .05758  .28883  .03971  .61388 1.49901  2.33869  1.43388  1.43481  2.41485  1.60330  2.08997  2.08377
1969  630.450  .05410  .29031  .03963  .61597 1.44957  2.46412  1.46481  1.53356  2.52637  1.64705  2.19889  2.10658
1970  623.466  .05255  .29755  .04348  .60642 1.32464  2.60532  1.45907  1.54758  2.65571  1.57894  2.39503  2.03230
1971  658.235  .04675  .28905  .04479  .61940 1.20177  2.76025  1.64689  1.54978  2.74952  1.52852  2.30803  2.18852



























